ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,timestamp
-1892.1869268640194,-1903.4745578139496,-1962.8184393427898,-1945.8534653012116,-23746.02392268466,-24252.447396808555,1542.9409197498464,1553.7591640662151,1780428963.7884624
8993.894933926456,4477.143821375826,8471.981700895036,7116.191937469475,8928.203156972308,9302.08078647623,9356.931967369554,9050.534254376204,1780428964.2716844
-3800.690627180413,-3823.020019891265,-3942.288928304783,-3908.2025180104397,-41871.18761195989,-42604.10131264941,3089.4134151236317,3110.8934415451818,1780428964.2717175
18159.719486203132,9109.766377182768,16761.282594356846,11647.11405600477,18036.203746343108,18753.13594974708,18857.429189375544,18297.786211703566,1780428964.271741
-3803.0599120926754,-3825.1434356145187,-3944.0100126278417,-3909.67773314449,-41872.349902671565,-42605.44241731673,3095.3813308931985,3116.8390055702935,1780428964.2717645
18732.281772170278,9194.43478517947,16784.059021956804,12853.370649024326,18603.043985729695,19331.464985783696,19443.156652826867,18856.848044019705,1780428964.2717843
-3802.7693394147564,-3825.076380381153,-3943.942957394476,-3909.722436633401,-41871.94757127137,-42605.084789405446,3092.922639003115,3114.42501716912,1780428964.271804
17913.291503583372,8974.895951139444,16896.53300005591,13141.46228330878,17784.746621220904,18525.729301658786,18628.39086394201,18037.6566097327,1780428964.271824
-3800.46710973586,-3822.9306129134434,-3941.7971899267664,-3907.5766691656913,-41869.51123112574,-42602.58139402645,3090.598057579763,3112.1227874902233,1780428964.271844
18630.82720408764,9230.488148985882,16713.762785644863,11795.373176976822,18505.679786882378,19221.114423407846,19330.05682588301,18766.09996153116,1780428964.27186
-3797.7849004012232,-3820.047237878709,-3938.8020561697554,-3904.402721453038,-41865.86789677953,-42599.04981840251,3090.3521883907547,3111.8992700456706,1780428964.2718687
18326.888182984374,9060.927815547922,16910.167564173647,13810.82997451186,18196.21988489865,18935.32501880229,19050.05652309138,18443.072550663062,1780428964.2718773
-3795.594429444603,-3818.2143948333737,-3937.1703788245177,-3903.10632027463,-41864.23621943429,-42597.28403059054,3084.6971970435616,3106.177223465112,1780428964.271886
18149.571794220425,9112.962676639876,16771.385582850646,11648.455160672089,18026.480737505048,18744.08349324268,18847.05797994828,18287.23618832066,1780428964.2718945
-3794.8568218775777,-3816.9850488883317,-3935.717515434923,-3901.429939440482,-41862.13515545549,-42595.38413231184,3087.2899994003774,3108.7700258219274,1780428964.271903
18727.02911222328,9203.375482961594,16785.690699302042,12844.720523920123,18598.171305438438,19323.30659905751,19436.60759170146,18850.477796849944,1780428964.2719116
-3794.3203800106503,-3816.560365743681,-3935.4045910125487,-3901.1840702514737,-41861.5316583552,-42594.66887648927,3084.8313075102938,3106.311333931844,1780428964.2719202
17907.234180835985,8978.606340719025,16904.53492457091,13143.74216124322,17779.65042348509,18519.60492367803,18622.62411387254,18031.28636256294,1780428964.2719288
-3798.8130806461672,-3821.298935568206,-3940.031402114797,-3905.944991820454,-41865.912600268435,-42599.04981840251,3089.5475255903634,3111.13931073419,1780428964.2719371
18623.719349350853,9240.166454335029,16721.049454337295,11756.637603835774,18499.42129843489,19212.79957447047,19322.792508935036,18758.4780166719,1780428964.2719457
-3796.8237753896447,-3819.197871589407,-3937.751524180356,-3903.3521894636383,-41862.87276302252,-42596.16644336777,3089.882801757193,3111.2957729453774,1780428964.2719543
18322.373130604403,9062.51478940425,16903.350282114778,13815.076805958368,18192.26362613006,18933.22395482349,19045.2956015224,18438.44573956081,1780428964.271963
-3793.0910340656087,-3815.6886477099238,-3934.5999282121575,-3900.491166173359,-41859.564704843135,-42592.81368169948,3082.4173191091204,3103.785586808394,1780428964.271983
18135.803119635955,9115.890755163522,16782.94143473404,11640.989678024016,18013.315560020874,18730.426577380487,18835.21155538697,18273.713382925198,1780428964.2719915
-3795.952057355888,-3818.2143948333737,-3936.9021578910542,-3902.525174918792,-41861.15167869946,-42594.512414278084,3088.8546215122487,3110.2899444448885,1780428964.2720003
18713.796879505742,9203.330779472682,16792.597388338734,12819.06072128543,18586.369584366035,19313.337721030442,19425.834050874004,18839.25722113338,1780428964.2720096
-3792.9569235988765,-3815.2863163097286,-3934.041134600775,-3899.7535586063336,-41858.00008273126,-42591.33846656543,3084.071348198813,3105.529022875908,1780428964.2720182
17897.198247575554,8975.700613939836,16905.92073272714,13148.883062467941,17770.08387685822,18510.75363287373,18613.482250390323,18021.652760702702,1780428964.2720265
-3792.755757898779,-3815.0851506096305,-3933.9517276229535,-3899.6641516285126,-41857.50834435324,-42590.891431676326,3083.84783075426,3105.2831536869,1780428964.2720351
18608.274293932234,9237.886576400588,16718.07667232474,11765.690060340174,18483.931539527362,19196.795725440472,19306.319273271474,18743.010609508827,1780428964.2720437
-3797.717845167857,-3819.8013686897007,-3938.489131747381,-3904.112148775119,-41861.39754788847,-42594.937097422735,3090.910982002137,3112.301601445866,1780428964.2720523
18314.460613067225,9061.844237070589,16905.272532137937,13793.082689414347,18184.082887659417,18924.55147797483,19037.718360152052,18430.756739468186,1780428964.2720609
-3794.4768422218376,-3817.1191593550634,-3935.8516259016546,-3901.809919096222,-41858.782393787194,-42592.16548111028,3084.2501621544557,3105.6407815981847,1780428964.2720692
18120.939209573175,9102.524411979248,16780.482742843957,11647.203462982592,17997.89285634671,18716.881420240574,18819.76649996835,18258.916528095786,1780428964.272078
-3797.8743073790442,-3820.2931070677173,-3938.7350009363895,-3904.5368319197696,-41860.99521648827,-42594.60182125591,3091.402720380154,3112.815691568338,1780428964.2720864
18706.04082417975,9205.454195195936,16785.869513257687,12801.894581543755,18577.987680195296,19302.944159858725,19414.74758562417,18830.67415126254,1780428964.2720952
-3793.8733451215444,-3816.2474413213067,-3935.002259612353,-3900.8934975735547,-41856.971902486315,-42590.39969329831,3085.501859843953,3106.9595345210478,1780428964.2721035
17886.938796870567,8967.229302791275,16904.847848993286,13140.970544930762,17759.824426153235,18500.94121705785,18603.200447940882,18011.795641397912,1780428964.272112
-3792.1969642873964,-3814.66046746498,-3933.325878778205,-3899.3065237172277,-41855.004948974245,-42588.56685025297,3083.5796098207966,3104.94787752007,1780428964.2721207
18594.86324725905,9230.175224563507,16727.598515462698,11783.70556637115,18470.475789365268,19185.776315424006,19294.897531854815,18730.538336102767,1780428964.2721293
-3794.789766644212,-3816.806234932689,-3935.3151840347273,-3901.2734772292947,-41856.413108874935,-42590.06441713148,3088.407586623143,3109.820557811327,1780428964.272138
18307.53157228608,9063.542969649192,16913.654436308676,13792.546247547418,18177.6902887452,18917.510678471408,19030.990485071005,18424.25238183169,1780428964.2721465
-3793.6721794214463,-3815.979220387843,-3934.756390423345,-3901.139366762563,-41855.83196351909,-42589.349161308906,3083.8925342431708,3105.32785717581,1780428964.2721553
18107.326997199893,9105.385435269527,16793.89378951714,11706.994379400538,17983.632443384224,18705.258513123812,18805.886066661606,18244.767873855577,1780428964.2721653
-3795.1697462999523,-3817.3203250551614,-3935.7622189238336,-3901.854622585133,-41856.10018445256,-42589.72914096465,3088.921676745615,3110.2899444448885,1780428964.272174
18696.317815341692,9204.20249750644,16790.541027848845,12808.756567091534,18567.95174693486,19292.550598687005,19404.17521049681,18820.10177613518,1780428964.2721825
